Qualité du sommeil,Rythme cardiaque,Étapes quotidiennes,Durée du sommeil
6,77.0,4200.0,6.1
6,75.0,10000.0,6.2
6,75.0,10000.0,6.2
4,85.0,3000.0,5.9
4,85.0,3000.0,5.9
4,85.0,3000.0,5.9
6,82.0,3500.0,6.3
7,70.0,8000.0,7.8
7,70.0,8000.0,7.8
7,70.0,8000.0,7.8
6,70.0,8000.0,6.1
7,70.0,8000.0,7.8
6,70.0,8000.0,6.1
6,70.0,8000.0,6.0
6,70.0,8000.0,6.0
6,70.0,8000.0,6.0
5,80.0,4000.0,6.5
6,70.0,8000.0,6.0
5,80.0,4000.0,6.5
7,70.0,8000.0,7.6
7,70.0,8000.0,7.7
7,70.0,8000.0,7.7
7,70.0,8000.0,7.7
7,70.0,8000.0,7.7
7,70.0,8000.0,7.8
7,70.0,8000.0,7.9
7,70.0,8000.0,7.8
7,70.0,8000.0,7.9
7,70.0,8000.0,7.9
7,70.0,8000.0,7.9
5,78.0,4100.0,6.4
5,78.0,4100.0,6.4
8,69.0,6800.0,7.9
6,72.0,5000.0,6.1
7,70.0,8000.0,7.7
6,72.0,5000.0,6.1
6,72.0,5000.0,6.1
7,70.0,8000.0,7.6
7,70.0,8000.0,7.6
7,70.0,8000.0,7.6
7,70.0,8000.0,7.7
7,70.0,8000.0,7.7
7,70.0,8000.0,7.7
7,70.0,8000.0,7.8
7,70.0,8000.0,7.7
7,70.0,8000.0,7.8
7,70.0,8000.0,7.7
7,70.0,8000.0,7.8
7,70.0,8000.0,7.7
7,70.0,8000.0,7.7
8,70.0,8000.0,7.5
8,70.0,8000.0,7.5
6,72.0,5000.0,6.0
7,70.0,8000.0,7.6
6,72.0,5000.0,6.0
6,72.0,5000.0,6.0
7,70.0,8000.0,7.7
6,72.0,5000.0,6.0
6,72.0,5000.0,6.0
7,70.0,8000.0,7.7
6,72.0,5000.0,6.0
6,72.0,5000.0,6.0
6,72.0,5000.0,6.2
6,72.0,5000.0,6.2
6,72.0,5000.0,6.2
6,72.0,5000.0,6.2
8,68.0,7000.0,7.2
6,72.0,5000.0,6.0
6,76.0,5500.0,6.2
6,76.0,5500.0,6.2
6,72.0,5000.0,6.1
6,72.0,5000.0,6.1
6,72.0,5000.0,6.1
6,72.0,5000.0,6.1
6,72.0,5000.0,6.0
6,72.0,5000.0,6.0
6,72.0,5000.0,6.0
6,72.0,5000.0,6.0
6,72.0,5000.0,6.0
6,72.0,5000.0,6.0
4,81.0,5200.0,5.8
4,81.0,5200.0,5.8
7,70.0,5600.0,6.7
7,70.0,5600.0,6.7
8,70.0,8000.0,7.5
8,68.0,7000.0,7.2
8,65.0,5000.0,7.2
8,65.0,5000.0,7.2
8,65.0,5000.0,7.3
8,65.0,5000.0,7.3
8,65.0,5000.0,7.3
8,65.0,5000.0,7.3
8,70.0,8000.0,7.5
7,84.0,3300.0,7.4
8,68.0,7000.0,7.2
8,68.0,7000.0,7.1
8,68.0,7000.0,7.2
8,68.0,7000.0,7.1
8,68.0,7000.0,7.1
8,68.0,7000.0,7.1
8,68.0,7000.0,7.2
8,68.0,7000.0,7.2
8,68.0,7000.0,7.2
5,74.0,4800.0,6.6
8,68.0,7000.0,7.2
5,74.0,4800.0,6.6
6,77.0,4200.0,6.1
8,68.0,7000.0,7.8
8,68.0,7000.0,7.8
8,68.0,8000.0,7.4
8,68.0,7000.0,7.2
8,68.0,8000.0,7.4
8,68.0,7000.0,7.2
8,68.0,8000.0,7.4
8,68.0,7000.0,7.2
8,68.0,7000.0,7.2
8,68.0,7000.0,7.2
8,68.0,7000.0,7.2
8,68.0,7000.0,7.2
8,68.0,7000.0,7.2
8,68.0,7000.0,7.2
8,68.0,7000.0,7.2
8,68.0,7000.0,7.2
8,68.0,7000.0,7.2
8,68.0,7000.0,7.2
8,70.0,8000.0,7.5
8,68.0,8000.0,7.3
8,68.0,7000.0,7.1
8,68.0,8000.0,7.3
8,68.0,8000.0,7.3
8,68.0,7000.0,7.1
8,68.0,8000.0,7.3
8,68.0,8000.0,7.3
8,68.0,7000.0,7.1
8,68.0,8000.0,7.3
8,68.0,8000.0,7.3
8,68.0,7000.0,7.1
8,68.0,8000.0,7.1
8,68.0,7000.0,7.1
8,68.0,8000.0,7.1
8,68.0,7000.0,7.1
8,68.0,8000.0,7.1
8,68.0,7000.0,7.1
8,68.0,7000.0,7.1
8,68.0,8000.0,7.1
7,84.0,3300.0,7.4
8,68.0,8000.0,7.2
5,80.0,4000.0,6.5
7,75.0,5500.0,6.9
9,67.0,7500.0,8.0
9,67.0,7500.0,8.0
8,68.0,8000.0,7.2
8,68.0,8000.0,7.2
8,68.0,8000.0,7.2
8,68.0,8000.0,7.2
8,68.0,8000.0,7.2
8,68.0,8000.0,7.2
8,68.0,8000.0,7.2
8,68.0,8000.0,7.2
8,68.0,8000.0,7.2
8,68.0,8000.0,7.2
8,73.0,7300.0,7.2
8,73.0,7300.0,7.2
8,68.0,8000.0,7.9
8,68.0,8000.0,7.9
8,70.0,8000.0,7.6
8,72.0,6200.0,7.3
7,72.0,6000.0,7.1
7,72.0,6000.0,7.1
8,70.0,8000.0,7.7
8,70.0,8000.0,7.7
8,70.0,8000.0,7.7
8,70.0,8000.0,7.7
8,70.0,8000.0,7.7
8,70.0,8000.0,7.6
8,70.0,8000.0,7.6
8,70.0,8000.0,7.6
6,72.0,6000.0,6.5
8,70.0,8000.0,7.8
8,70.0,8000.0,7.8
8,70.0,8000.0,7.8
8,70.0,8000.0,7.8
8,70.0,8000.0,7.8
8,70.0,8000.0,7.8
6,78.0,5000.0,6.8
6,78.0,5000.0,6.8
7,65.0,6000.0,6.7
6,72.0,6000.0,6.3
7,65.0,6000.0,6.7
6,72.0,6000.0,6.5
7,65.0,6000.0,6.7
6,72.0,6000.0,6.4
6,72.0,6000.0,6.5
6,72.0,6000.0,6.5
6,72.0,6000.0,6.5
6,72.0,6000.0,6.5
6,72.0,6000.0,6.5
6,72.0,6000.0,6.5
6,72.0,6000.0,6.5
6,72.0,6000.0,6.5
6,72.0,6000.0,6.5
8,70.0,8000.0,7.8
8,70.0,8000.0,7.8
6,69.0,6800.0,6.9
8,68.0,6800.0,7.6
8,70.0,8000.0,7.7
8,70.0,8000.0,7.7
8,70.0,8000.0,7.7
8,70.0,8000.0,7.7
8,70.0,8000.0,7.8
8,70.0,8000.0,7.7
8,70.0,8000.0,7.8
8,70.0,8000.0,7.8
8,70.0,8000.0,7.8
8,70.0,8000.0,7.8
8,70.0,8000.0,7.8
8,70.0,8000.0,7.8
8,70.0,8000.0,7.8
8,70.0,8000.0,7.8
6,72.0,6000.0,6.5
7,65.0,6000.0,6.6
6,72.0,6000.0,6.4
6,72.0,6000.0,6.3
6,72.0,6000.0,6.4
7,65.0,6000.0,6.6
6,72.0,6000.0,6.3
7,65.0,6000.0,6.6
6,72.0,6000.0,6.3
7,65.0,6000.0,6.6
6,72.0,6000.0,6.3
7,65.0,6000.0,6.6
6,72.0,6000.0,6.3
7,65.0,6000.0,6.6
6,72.0,6000.0,6.3
7,65.0,6000.0,6.6
6,72.0,6000.0,6.3
6,72.0,6000.0,6.4
7,65.0,6000.0,6.5
6,72.0,6000.0,6.3
6,72.0,6000.0,6.4
7,65.0,6000.0,6.5
6,72.0,6000.0,6.3
6,72.0,6000.0,6.4
7,65.0,6000.0,6.5
6,72.0,6000.0,6.3
7,65.0,6000.0,6.5
6,72.0,6000.0,6.3
7,78.0,5000.0,6.8
6,72.0,6000.0,6.4
6,72.0,6000.0,6.5
7,65.0,6000.0,6.8
7,65.0,6000.0,6.8
7,65.0,6000.0,6.5
7,65.0,6000.0,6.5
7,65.0,6000.0,6.5
7,65.0,6000.0,6.5
7,65.0,6000.0,6.6
7,65.0,6000.0,6.6
7,65.0,6000.0,6.6
7,65.0,6000.0,6.6
7,65.0,6000.0,6.6
7,65.0,6000.0,6.6
7,65.0,6000.0,6.6
7,75.0,5500.0,6.9
7,83.0,3500.0,7.3
6,75.0,10000.0,5.9
7,83.0,3500.0,7.3
6,75.0,10000.0,6.2
6,75.0,10000.0,6.0
6,75.0,10000.0,6.1
6,75.0,10000.0,6.1
6,75.0,10000.0,6.1
6,75.0,10000.0,6.1
6,75.0,10000.0,6.2
6,75.0,10000.0,6.2
6,75.0,10000.0,6.2
9,86.0,3700.0,8.1
9,86.0,3700.0,8.1
6,75.0,10000.0,6.1
9,65.0,5000.0,8.3
6,75.0,10000.0,6.0
6,75.0,10000.0,6.1
6,75.0,10000.0,6.0
6,75.0,10000.0,6.0
6,75.0,10000.0,6.0
6,75.0,10000.0,6.0
6,75.0,10000.0,6.0
6,75.0,10000.0,6.0
6,75.0,10000.0,6.0
6,75.0,10000.0,6.1
6,75.0,10000.0,6.0
6,75.0,10000.0,6.1
6,75.0,10000.0,6.1
6,75.0,10000.0,6.0
6,75.0,10000.0,6.1
6,75.0,10000.0,6.0
6,75.0,10000.0,6.1
6,75.0,10000.0,6.1
9,65.0,5000.0,8.5
9,65.0,5000.0,8.5
9,65.0,5000.0,8.5
9,65.0,5000.0,8.5
7,72.0,6000.0,7.1
6,75.0,10000.0,6.0
6,75.0,10000.0,6.1
6,75.0,10000.0,6.1
7,72.0,6000.0,6.5
7,72.0,6000.0,6.5
7,72.0,6000.0,6.6
7,72.0,6000.0,6.6
7,72.0,6000.0,6.6
7,72.0,6000.0,6.6
9,65.0,5000.0,8.4
9,65.0,5000.0,8.4
9,65.0,5000.0,8.4
9,65.0,5000.0,8.3
9,65.0,5000.0,8.5
9,65.0,5000.0,8.5
9,65.0,5000.0,8.4
9,65.0,5000.0,8.4
9,65.0,5000.0,8.5
9,65.0,5000.0,8.4
9,65.0,5000.0,8.4
9,65.0,5000.0,8.5
9,65.0,5000.0,8.3
9,65.0,5000.0,8.5
9,65.0,5000.0,8.3
9,65.0,5000.0,8.5
9,65.0,5000.0,8.3
9,65.0,5000.0,8.5
9,65.0,5000.0,8.5
9,65.0,5000.0,8.4
9,65.0,5000.0,8.4
9,65.0,5000.0,8.4
9,65.0,5000.0,8.4
9,65.0,5000.0,8.4
9,65.0,5000.0,8.4
9,65.0,5000.0,8.4
9,65.0,5000.0,8.5
9,72.0,5000.0,8.1
9,72.0,5000.0,8.1
9,65.0,10000.0,8.2
9,65.0,10000.0,8.2
9,68.0,7000.0,8.1
9,68.0,7000.0,8.2
9,68.0,7000.0,8.2
9,68.0,7000.0,8.2
9,68.0,7000.0,8.2
9,68.0,7000.0,8.2
9,68.0,7000.0,8.1
9,68.0,7000.0,8.1
9,68.0,7000.0,8.1
9,68.0,7000.0,8.0
9,68.0,7000.0,8.0
9,68.0,7000.0,8.0
9,68.0,7000.0,8.0
9,68.0,7000.0,8.0
9,68.0,7000.0,8.0
9,68.0,7000.0,8.0
9,68.0,7000.0,8.1
9,68.0,7000.0,8.2
9,68.0,7000.0,8.2
9,68.0,7000.0,8.2
9,68.0,7000.0,8.2
9,68.0,7000.0,8.0
9,68.0,7000.0,8.0
9,68.0,7000.0,8.1
9,68.0,7000.0,8.0
9,68.0,7000.0,8.1
9,68.0,7000.0,8.1
9,68.0,7000.0,8.0
9,68.0,7000.0,8.1
9,68.0,7000.0,8.1
9,68.0,7000.0,8.1
,,,
73%,0.0,4746.0,6.989138888888889
86%,0.0,4007.0,7.897444444444444
77%,0.0,6578.0,6.425694444444445
78%,0.0,4913.0,6.281833333333333
72%,0.0,4020.0,5.766611111111111
73%,0.0,5133.0,6.823666666666667
78%,0.0,4927.0,6.327888888888889
84%,0.0,6637.0,7.20163888888889
88%,0.0,4298.0,6.600388888888889
71%,0.0,4741.0,7.389749999999999
73%,0.0,6110.0,6.164083333333333
74%,0.0,3999.0,6.5184444444444445
75%,0.0,5811.0,6.308611111111111
92%,0.0,5256.0,7.253222222222222
73%,0.0,5286.0,7.40675
85%,0.0,4188.0,6.472083333333333
97%,0.0,11111.0,7.927444444444444
75%,0.0,11651.0,6.805944444444445
84%,0.0,7521.0,6.907166666666667
100%,0.0,7373.0,8.313611111111111
75%,0.0,703.0,6.341166666666667
87%,0.0,7657.0,8.013027777777777
81%,0.0,3240.0,7.522638888888889
77%,0.0,7252.0,6.180888888888889
76%,0.0,6679.0,7.996944444444445
87%,0.0,1095.0,7.343583333333334
85%,0.0,5268.0,7.382194444444445
90%,0.0,5385.0,6.977777777777778
68%,0.0,6441.0,6.507305555555555
86%,0.0,10110.0,6.223
88%,0.0,1177.0,8.803472222222222
66%,0.0,9383.0,6.230888888888889
65%,0.0,4934.0,6.2587777777777776
86%,0.0,10232.0,7.331833333333333
72%,0.0,12379.0,5.550861111111111
69%,0.0,7004.0,5.9415
69%,0.0,497.0,6.927833333333334
62%,0.0,7203.0,7.158166666666667
68%,0.0,4547.0,6.191361111111111
71%,0.0,3733.0,6.672361111111111
87%,0.0,7485.0,7.355444444444444
68%,0.0,6540.0,5.871333333333333
65%,0.0,20781.0,7.107166666666666
71%,0.0,2493.0,5.850444444444444
87%,0.0,1817.0,7.713166666666667
94%,0.0,9034.0,7.044666666666666
83%,0.0,4083.0,6.9108888888888895
99%,0.0,10803.0,7.689249999999999
53%,0.0,5241.0,4.785166666666666
58%,0.0,7143.0,7.606111111111111
78%,0.0,4203.0,6.324027777777777
86%,0.0,603.0,6.921722222222223
88%,0.0,1784.0,7.775888888888889
72%,0.0,10156.0,6.018305555555556
84%,0.0,4257.0,7.7541111111111105
54%,0.0,4041.0,6.798472222222222
92%,0.0,4935.0,7.118527777777778
66%,0.0,3285.0,5.347027777777778
87%,0.0,8026.0,7.782555555555556
72%,0.0,8556.0,6.381555555555555
84%,0.0,5046.0,6.947611111111112
80%,0.0,241.0,6.651361111111112
100%,0.0,4256.0,7.765
89%,0.0,6618.0,7.913722222222223
82%,0.0,2169.0,6.212805555555555
75%,0.0,7872.0,6.0537222222222224
78%,0.0,6248.0,6.114055555555555
80%,0.0,5069.0,6.700527777777778
100%,0.0,3889.0,9.772444444444446
94%,0.0,2217.0,7.274138888888889
81%,0.0,22366.0,7.909944444444444
86%,0.0,4028.0,7.204444444444444
100%,0.0,5072.0,7.815305555555555
77%,0.0,10122.0,6.094305555555556
77%,0.0,9566.0,6.203777777777777
100%,0.0,5519.0,8.03525
73%,0.0,4262.0,6.186083333333333
71%,0.0,3865.0,5.519777777777778
72%,0.0,3837.0,5.864083333333333
77%,0.0,4237.0,6.499916666666667
86%,0.0,5012.0,7.454861111111111
94%,0.0,2281.0,7.4321111111111104
100%,0.0,2764.0,8.305250000000001
94%,0.0,10333.0,7.366472222222222
95%,0.0,4822.0,7.828277777777777
94%,0.0,5267.0,6.849611111111111
80%,0.0,6322.0,6.881333333333333
82%,0.0,4289.0,7.1786666666666665
94%,0.0,531.0,7.941722222222222
73%,0.0,6333.0,6.443805555555556
76%,0.0,4801.0,7.054222222222222
75%,0.0,4366.0,7.430194444444445
93%,0.0,5200.0,7.135
94%,0.0,5364.0,7.609555555555556
97%,0.0,2830.0,8.04625
74%,0.0,7118.0,6.6034444444444444
79%,0.0,2779.0,6.596694444444444
82%,0.0,192.0,7.354611111111111
90%,0.0,4439.0,7.7747222222222225
80%,0.0,3272.0,6.329111111111111
76%,0.0,949.0,6.435555555555555
90%,0.0,8733.0,7.382888888888889
77%,0.0,1184.0,6.188472222222222
87%,0.0,2559.0,6.494055555555555
80%,0.0,1710.0,6.540638888888889
77%,0.0,5126.0,6.996388888888889
75%,0.0,2746.0,6.379388888888888
87%,0.0,2124.0,7.117472222222222
86%,0.0,1626.0,7.519
70%,0.0,2765.0,6.245277777777778
75%,0.0,2435.0,5.522305555555556
75%,0.0,3057.0,6.860166666666666
59%,0.0,8483.0,6.042944444444444
67%,0.0,2745.0,6.085
62%,0.0,4497.0,6.099888888888889
72%,0.0,4745.0,6.577583333333333
82%,0.0,3973.0,6.8085
92%,0.0,2370.0,8.34361111111111
85%,0.0,4003.0,8.029222222222222
78%,0.0,6853.0,6.486944444444444
49%,0.0,2263.0,7.211333333333333
72%,0.0,2394.0,6.704222222222223
88%,0.0,2404.0,6.606138888888888
88%,0.0,3922.0,7.416777777777778
70%,0.0,5140.0,8.697750000000001
64%,0.0,7430.0,6.525916666666666
68%,0.0,3814.0,6.384333333333333
81%,0.0,2604.0,7.416944444444445
70%,0.0,1606.0,6.902694444444444
80%,0.0,946.0,8.225805555555556
82%,0.0,3283.0,7.729861111111111
77%,0.0,4527.0,8.452222222222222
57%,0.0,6107.0,7.130416666666667
73%,0.0,3060.0,6.048916666666666
83%,0.0,3991.0,6.883388888888889
92%,0.0,3816.0,8.04936111111111
92%,0.0,2368.0,8.097527777777778
78%,0.0,7632.0,8.271277777777778
75%,0.0,7076.0,6.638722222222222
75%,0.0,3601.0,6.131666666666667
78%,0.0,3832.0,6.8084444444444445
91%,0.0,5259.0,6.668277777777778
56%,0.0,3551.0,5.972888888888889
75%,0.0,5003.0,7.119305555555556
86%,0.0,3939.0,7.140944444444445
100%,0.0,3301.0,7.715055555555556
87%,0.0,3352.0,7.910861111111111
96%,0.0,7011.0,7.451027777777778
88%,0.0,2708.0,7.31075
95%,0.0,4046.0,7.845555555555555
68%,0.0,3140.0,6.420944444444445
94%,0.0,3381.0,7.564638888888889
100%,0.0,3453.0,9.030694444444444
93%,0.0,6132.0,7.737638888888889
100%,0.0,7488.0,7.751638888888889
84%,0.0,1968.0,8.187444444444445
80%,0.0,2662.0,6.538916666666666
100%,0.0,4203.0,8.533777777777777
83%,0.0,4436.0,6.803444444444445
86%,0.0,4416.0,6.781055555555556
92%,0.0,3680.0,6.840638888888889
84%,0.0,4091.0,6.932305555555556
100%,0.0,2122.0,8.732055555555556
99%,0.0,4100.0,7.8385
100%,0.0,14631.0,9.173194444444444
100%,0.0,166.0,9.183638888888888
68%,0.0,2646.0,6.012861111111111
100%,0.0,7571.0,8.07863888888889
80%,0.0,6955.0,6.885694444444445
94%,0.0,5631.0,7.753916666666666
66%,0.0,6949.0,7.535416666666666
80%,0.0,220.0,7.874527777777778
87%,0.0,7927.0,8.965583333333333
89%,0.0,6381.0,7.960805555555556
83%,0.0,2040.0,6.794361111111112
70%,0.0,2439.0,5.699138888888889
76%,0.0,3000.0,6.809083333333334
100%,0.0,9082.0,8.324555555555555
97%,0.0,1418.0,8.60525
79%,0.0,1522.0,6.355944444444445
78%,0.0,6994.0,6.814333333333333
81%,0.0,5266.0,7.476
85%,0.0,5406.0,6.932472222222223
95%,0.0,3498.0,7.523611111111111
94%,0.0,581.0,9.616416666666666
88%,0.0,954.0,9.570833333333333
82%,0.0,1660.0,8.684972222222223
73%,0.0,2938.0,6.748694444444444
80%,0.0,363.0,7.785972222222222
85%,0.0,1595.0,6.778833333333333
100%,0.0,6042.0,8.62675
82%,0.0,1387.0,6.723916666666666
78%,0.0,1191.0,6.693305555555556
73%,0.0,3622.0,7.203444444444445
79%,0.0,4078.0,6.34
35%,0.0,190.0,5.723861111111112
81%,0.0,3487.0,8.904305555555556
60%,0.0,2484.0,5.271833333333333
79%,0.0,5285.0,6.412861111111111
68%,0.0,6538.0,5.852833333333334
68%,0.0,4938.0,6.104805555555555
61%,0.0,4245.0,6.3795
75%,0.0,9453.0,6.105972222222222
70%,0.0,6210.0,6.894527777777777
75%,0.0,6315.0,6.489611111111111
72%,0.0,5737.0,7.135694444444445
67%,0.0,9200.0,7.020638888888889
73%,0.0,2078.0,6.414194444444444
75%,0.0,4038.0,6.687555555555556
85%,0.0,5873.0,6.766666666666667
67%,0.0,4160.0,7.991333333333333
82%,0.0,3932.0,7.059861111111111
75%,0.0,2816.0,7.93825
79%,0.0,81.0,6.123194444444445
87%,0.0,4925.0,7.411916666666667
86%,0.0,4718.0,7.205722222222222
79%,0.0,4740.0,7.447861111111111
78%,0.0,5180.0,6.894805555555555
72%,0.0,3418.0,6.359166666666667
80%,0.0,4615.0,6.606972222222222
84%,0.0,5616.0,6.602694444444444
68%,0.0,1392.0,6.960999999999999
74%,0.0,5171.0,5.94575
96%,0.0,4452.0,8.143277777777778
100%,0.0,7169.0,8.759916666666667
78%,0.0,369.0,6.530666666666667
88%,0.0,3692.0,7.881472222222222
94%,0.0,5252.0,7.23325
69%,0.0,2030.0,6.301222222222223
61%,0.0,960.0,8.88325
68%,0.0,20566.0,7.329444444444444
78%,0.0,2091.0,7.244805555555556
74%,0.0,1792.0,5.781194444444444
72%,0.0,3982.0,5.36625
78%,0.0,10504.0,6.194500000000001
77%,0.0,2578.0,7.0481388888888885
76%,0.0,1520.0,7.966611111111111
74%,0.0,7060.0,5.950138888888889
62%,0.0,1528.0,5.725055555555556
80%,0.0,5043.0,6.2
83%,0.0,4687.0,7.382055555555556
89%,0.0,5680.0,7.108805555555556
84%,0.0,7548.0,7.742
68%,0.0,5002.0,5.214222222222222
82%,0.0,5740.0,6.7651666666666666
76%,0.0,2062.0,5.954194444444444
96%,0.0,3438.0,7.644222222222222
71%,0.0,578.0,6.507194444444445
67%,0.0,1847.0,7.026111111111111
67%,0.0,3349.0,5.544527777777778
78%,0.0,3867.0,6.6295
67%,0.0,63.0,6.328111111111111
88%,0.0,5426.0,7.175694444444445
61%,0.0,857.0,4.937388888888888
84%,0.0,4155.0,6.303027777777778
96%,0.0,2100.0,7.840083333333333
98%,0.0,290.0,7.517944444444444
92%,0.0,593.0,7.0328333333333335
96%,0.0,5383.0,7.012666666666666
92%,0.0,295.0,8.03411111111111
87%,0.0,1156.0,6.659833333333334
82%,0.0,3225.0,6.919861111111112
92%,0.0,290.0,7.207249999999999
99%,0.0,189.0,7.8398055555555555
75%,0.0,87.0,6.415416666666666
80%,0.0,93.0,7.120861111111111
86%,0.0,255.0,6.978694444444444
99%,0.0,3079.0,8.208194444444445
85%,0.0,4587.0,6.860138888888889
89%,0.0,249.0,7.179833333333334
83%,0.0,2748.0,6.606972222222222
84%,0.0,1555.0,7.261416666666666
78%,0.0,1721.0,6.482083333333334
86%,0.0,2240.0,6.623527777777778
92%,0.0,2897.0,7.184888888888889
100%,0.0,2020.0,7.946611111111111
76%,0.0,999.0,6.231138888888888
86%,0.0,7636.0,6.791111111111111
75%,0.0,7041.0,6.614388888888889
88%,0.0,2711.0,6.088916666666666
100%,0.0,1073.0,8.481277777777777
91%,0.0,10147.0,7.4728055555555555
100%,0.0,4115.0,9.088805555555556
96%,0.0,4154.0,7.750999999999999
86%,0.0,14610.0,7.366166666666666
64%,0.0,2949.0,7.542916666666667
99%,0.0,2846.0,8.638638888888888
81%,0.0,2690.0,7.690388888888889
94%,0.0,4228.0,7.895916666666666
88%,0.0,4325.0,7.776861111111112
76%,0.0,2830.0,6.776555555555555
82%,0.0,1593.0,6.849888888888889
81%,0.0,2286.0,7.198277777777777
81%,0.0,2759.0,6.239166666666667
89%,0.0,234.0,8.492722222222222
97%,0.0,2502.0,7.701583333333334
93%,0.0,929.0,7.245027777777778
88%,0.0,1777.0,6.9582500000000005
74%,0.0,1995.0,8.005666666666666
84%,0.0,6643.0,6.564527777777777
66%,0.0,2317.0,5.888138888888888
68%,0.0,2390.0,6.574833333333333
61%,0.0,1690.0,6.178583333333334
77%,0.0,1018.0,7.898388888888889
99%,0.0,972.0,6.775333333333333
89%,0.0,2153.0,6.787888888888889
77%,0.0,51.0,6.252722222222222
82%,0.0,7553.0,6.671861111111111
97%,0.0,5008.0,8.994833333333334
90%,0.0,6556.0,7.011222222222223
73%,0.0,7549.0,6.005805555555556
74%,0.0,3965.0,6.874833333333334
62%,0.0,2382.0,6.6505277777777785
76%,0.0,3387.0,6.495111111111112
100%,0.0,3905.0,7.656194444444444
89%,0.0,5630.0,7.386138888888889
80%,0.0,3666.0,8.278805555555556
67%,0.0,4404.0,8.159833333333333
91%,0.0,3731.0,7.871277777777777
55%,0.0,6065.0,8.828083333333334
61%,0.0,2826.0,7.4919166666666674
38%,0.0,8467.0,5.887833333333334
71%,0.0,110.0,5.964916666666667
94%,0.0,3056.0,7.547611111111111
72%,0.0,5299.0,5.810111111111112
90%,0.0,1829.0,7.957388888888889
96%,0.0,2194.0,7.271388888888889
83%,0.0,13172.0,7.113916666666666
89%,0.0,11414.0,6.835972222222222
50%,0.0,904.0,6.768555555555555
62%,0.0,3917.0,6.165416666666666
100%,0.0,4670.0,8.078972222222221
48%,0.0,254.0,7.229333333333333
94%,0.0,1448.0,7.762722222222222
91%,0.0,4560.0,8.485999999999999
59%,0.0,407.0,6.777416666666667
34%,0.0,9774.0,7.672111111111111
70%,0.0,159.0,5.881861111111111
38%,0.0,5905.0,5.607194444444445
71%,0.0,7253.0,6.5633333333333335
100%,0.0,4418.0,8.550222222222223
39%,0.0,1149.0,5.273361111111111
82%,0.0,2485.0,5.701833333333333
56%,0.0,5992.0,5.7490000000000006
71%,0.0,143.0,6.4415
89%,0.0,5921.0,6.793277777777778
98%,0.0,7596.0,7.504
78%,0.0,4657.0,6.092083333333333
80%,0.0,1896.0,6.529277777777779
94%,0.0,969.0,6.548222222222222
