Année,Période,AVG HRS par jour Sleeping,Erreur standard,Type de jours,Tranche d'âge,Activité,Sexe
2003,Annual,8.57,0.018,Tous les jours,15 ans et plus,Dormir,Les deux
2004,Annual,8.55,0.026,All days,15 years and over,Sleeping,Both
2005,Annual,8.62,0.023,All days,15 years and over,Sleeping,Both
2006,Annual,8.63,0.024,All days,15 years and over,Sleeping,Both
2007,Annual,8.57,0.024,All days,15 years and over,Sleeping,Both
2008,Annual,8.6,0.023,All days,15 years and over,Sleeping,Both
2009,Annual,8.67,0.023,All days,15 years and over,Sleeping,Both
2010,Annual,8.67,0.024,All days,15 years and over,Sleeping,Both
2011,Annual,8.71,0.026,All days,15 years and over,Sleeping,Both
2012,Annual,8.73,0.026,All days,15 years and over,Sleeping,Both
2013,Annual,8.74,0.027,All days,15 years and over,Sleeping,Both
2014,Annual,8.8,0.025,All days,15 years and over,Sleeping,Both
2015,Annual,8.83,0.027,All days,15 years and over,Sleeping,Both
2016,Annual,8.79,0.028,All days,15 years and over,Sleeping,Both
2017,Annual,8.8,0.027,All days,15 years and over,Sleeping,Both
2003,Annual,8.26,0.023,Nonholiday weekdays,15 years and over,Sleeping,Both
2004,Annual,8.25,0.034,Nonholiday weekdays,15 years and over,Sleeping,Both
2005,Annual,8.35,0.03,Nonholiday weekdays,15 years and over,Sleeping,Both
2006,Annual,8.33,0.032,Nonholiday weekdays,15 years and over,Sleeping,Both
2007,Annual,8.29,0.032,Nonholiday weekdays,15 years and over,Sleeping,Both
2008,Annual,8.3,0.032,Nonholiday weekdays,15 years and over,Sleeping,Both
2009,Annual,8.39,0.031,Nonholiday weekdays,15 years and over,Sleeping,Both
2010,Annual,8.38,0.031,Nonholiday weekdays,15 years and over,Sleeping,Both
2011,Annual,8.45,0.034,Nonholiday weekdays,15 years and over,Sleeping,Both
2012,Annual,8.45,0.034,Nonholiday weekdays,15 years and over,Sleeping,Both
2013,Annual,8.48,0.036,Nonholiday weekdays,15 years and over,Sleeping,Both
2014,Annual,8.54,0.031,Nonholiday weekdays,15 years and over,Sleeping,Both
2015,Annual,8.59,0.035,Nonholiday weekdays,15 years and over,Sleeping,Both
2016,Annual,8.5,0.037,Nonholiday weekdays,15 years and over,Sleeping,Both
2017,Annual,8.53,0.035,Nonholiday weekdays,15 years and over,Sleeping,Both
2003,Annual,9.29,0.026,Weekend days and holidays,15 years and over,Sleeping,Both
2004,Annual,9.25,0.032,Weekend days and holidays,15 years and over,Sleeping,Both
2005,Annual,9.28,0.037,Weekend days and holidays,15 years and over,Sleeping,Both
2006,Annual,9.32,0.036,Weekend days and holidays,15 years and over,Sleeping,Both
2007,Annual,9.24,0.035,Weekend days and holidays,15 years and over,Sleeping,Both
2008,Annual,9.31,0.036,Weekend days and holidays,15 years and over,Sleeping,Both
2009,Annual,9.33,0.031,Weekend days and holidays,15 years and over,Sleeping,Both
2010,Annual,9.34,0.032,Weekend days and holidays,15 years and over,Sleeping,Both
2011,Annual,9.35,0.04,Weekend days and holidays,15 years and over,Sleeping,Both
2012,Annual,9.39,0.036,Weekend days and holidays,15 years and over,Sleeping,Both
2013,Annual,9.34,0.039,Weekend days and holidays,15 years and over,Sleeping,Both
2014,Annual,9.4,0.035,Weekend days and holidays,15 years and over,Sleeping,Both
2015,Annual,9.4,0.041,Weekend days and holidays,15 years and over,Sleeping,Both
2016,Annual,9.48,0.04,Weekend days and holidays,15 years and over,Sleeping,Both
2017,Annual,9.44,0.035,Weekend days and holidays,15 years and over,Sleeping,Both
2003,Annual,9.15,0.06,All days,15 to 24 years,Sleeping,Both
2004,Annual,9.23,0.081,All days,15 to 24 years,Sleeping,Both
2005,Annual,9.27,0.077,All days,15 to 24 years,Sleeping,Both
2006,Annual,9.19,0.064,All days,15 to 24 years,Sleeping,Both
2007,Annual,9.11,0.085,All days,15 to 24 years,Sleeping,Both
2008,Annual,9.2,0.087,All days,15 to 24 years,Sleeping,Both
2009,Annual,9.45,0.082,All days,15 to 24 years,Sleeping,Both
2010,Annual,9.24,0.082,All days,15 to 24 years,Sleeping,Both
2011,Annual,9.32,0.074,All days,15 to 24 years,Sleeping,Both
2012,Annual,9.34,0.081,All days,15 to 24 years,Sleeping,Both
2013,Annual,9.34,0.093,All days,15 to 24 years,Sleeping,Both
2014,Annual,9.53,0.091,All days,15 to 24 years,Sleeping,Both
2015,Annual,9.58,0.106,All days,15 to 24 years,Sleeping,Both
2016,Annual,9.55,0.104,All days,15 to 24 years,Sleeping,Both
2017,Annual,9.72,0.101,All days,15 to 24 years,Sleeping,Both
2003,Annual,8.75,0.08,Nonholiday weekdays,15 to 24 years,Sleeping,Both
2004,Annual,8.79,0.113,Nonholiday weekdays,15 to 24 years,Sleeping,Both
2005,Annual,9.01,0.1,Nonholiday weekdays,15 to 24 years,Sleeping,Both
2006,Annual,8.84,0.085,Nonholiday weekdays,15 to 24 years,Sleeping,Both
2007,Annual,8.71,0.105,Nonholiday weekdays,15 to 24 years,Sleeping,Both
2008,Annual,8.83,0.106,Nonholiday weekdays,15 to 24 years,Sleeping,Both
2009,Annual,9.19,0.109,Nonholiday weekdays,15 to 24 years,Sleeping,Both
2010,Annual,8.94,0.109,Nonholiday weekdays,15 to 24 years,Sleeping,Both
2011,Annual,8.99,0.093,Nonholiday weekdays,15 to 24 years,Sleeping,Both
2012,Annual,8.95,0.111,Nonholiday weekdays,15 to 24 years,Sleeping,Both
2013,Annual,9.0,0.116,Nonholiday weekdays,15 to 24 years,Sleeping,Both
2014,Annual,9.31,0.118,Nonholiday weekdays,15 to 24 years,Sleeping,Both
2015,Annual,9.39,0.129,Nonholiday weekdays,15 to 24 years,Sleeping,Both
2016,Annual,9.12,0.129,Nonholiday weekdays,15 to 24 years,Sleeping,Both
2017,Annual,9.38,0.133,Nonholiday weekdays,15 to 24 years,Sleeping,Both
2003,Annual,10.1,0.086,Weekend days and holidays,15 to 24 years,Sleeping,Both
2004,Annual,10.28,0.115,Weekend days and holidays,15 to 24 years,Sleeping,Both
2005,Annual,9.89,0.1,Weekend days and holidays,15 to 24 years,Sleeping,Both
2006,Annual,10.03,0.109,Weekend days and holidays,15 to 24 years,Sleeping,Both
2007,Annual,10.0,0.123,Weekend days and holidays,15 to 24 years,Sleeping,Both
2008,Annual,10.04,0.128,Weekend days and holidays,15 to 24 years,Sleeping,Both
2009,Annual,10.04,0.104,Weekend days and holidays,15 to 24 years,Sleeping,Both
2010,Annual,9.96,0.105,Weekend days and holidays,15 to 24 years,Sleeping,Both
2011,Annual,10.13,0.133,Weekend days and holidays,15 to 24 years,Sleeping,Both
2012,Annual,10.25,0.1,Weekend days and holidays,15 to 24 years,Sleeping,Both
2013,Annual,10.16,0.136,Weekend days and holidays,15 to 24 years,Sleeping,Both
2014,Annual,10.06,0.109,Weekend days and holidays,15 to 24 years,Sleeping,Both
2015,Annual,10.02,0.141,Weekend days and holidays,15 to 24 years,Sleeping,Both
2016,Annual,10.58,0.129,Weekend days and holidays,15 to 24 years,Sleeping,Both
2017,Annual,10.48,0.113,Weekend days and holidays,15 to 24 years,Sleeping,Both
2003,Annual,8.52,0.043,All days,25 to 34 years,Sleeping,Both
2004,Annual,8.46,0.068,All days,25 to 34 years,Sleeping,Both
2005,Annual,8.65,0.057,All days,25 to 34 years,Sleeping,Both
2006,Annual,8.58,0.063,All days,25 to 34 years,Sleeping,Both
2007,Annual,8.57,0.067,All days,25 to 34 years,Sleeping,Both
2008,Annual,8.54,0.065,All days,25 to 34 years,Sleeping,Both
2009,Annual,8.54,0.066,All days,25 to 34 years,Sleeping,Both
2010,Annual,8.58,0.063,All days,25 to 34 years,Sleeping,Both
2011,Annual,8.6,0.057,All days,25 to 34 years,Sleeping,Both
2012,Annual,8.76,0.061,All days,25 to 34 years,Sleeping,Both
2013,Annual,8.65,0.066,All days,25 to 34 years,Sleeping,Both
2014,Annual,8.77,0.062,All days,25 to 34 years,Sleeping,Both
2015,Annual,8.87,0.074,All days,25 to 34 years,Sleeping,Both
2016,Annual,8.71,0.066,All days,25 to 34 years,Sleeping,Both
2017,Annual,8.76,0.074,All days,25 to 34 years,Sleeping,Both
2003,Annual,8.18,0.053,Nonholiday weekdays,25 to 34 years,Sleeping,Both
2004,Annual,8.08,0.089,Nonholiday weekdays,25 to 34 years,Sleeping,Both
2005,Annual,8.24,0.07,Nonholiday weekdays,25 to 34 years,Sleeping,Both
2006,Annual,8.19,0.082,Nonholiday weekdays,25 to 34 years,Sleeping,Both
2007,Annual,8.22,0.089,Nonholiday weekdays,25 to 34 years,Sleeping,Both
2008,Annual,8.16,0.086,Nonholiday weekdays,25 to 34 years,Sleeping,Both
2009,Annual,8.18,0.083,Nonholiday weekdays,25 to 34 years,Sleeping,Both
2010,Annual,8.25,0.079,Nonholiday weekdays,25 to 34 years,Sleeping,Both
2011,Annual,8.26,0.077,Nonholiday weekdays,25 to 34 years,Sleeping,Both
2012,Annual,8.45,0.076,Nonholiday weekdays,25 to 34 years,Sleeping,Both
2013,Annual,8.34,0.086,Nonholiday weekdays,25 to 34 years,Sleeping,Both
2014,Annual,8.44,0.082,Nonholiday weekdays,25 to 34 years,Sleeping,Both
2015,Annual,8.63,0.094,Nonholiday weekdays,25 to 34 years,Sleeping,Both
2016,Annual,8.36,0.088,Nonholiday weekdays,25 to 34 years,Sleeping,Both
2017,Annual,8.41,0.094,Nonholiday weekdays,25 to 34 years,Sleeping,Both
2003,Annual,9.34,0.064,Weekend days and holidays,25 to 34 years,Sleeping,Both
2004,Annual,9.37,0.08,Weekend days and holidays,25 to 34 years,Sleeping,Both
2005,Annual,9.6,0.101,Weekend days and holidays,25 to 34 years,Sleeping,Both
2006,Annual,9.47,0.077,Weekend days and holidays,25 to 34 years,Sleeping,Both
2007,Annual,9.4,0.086,Weekend days and holidays,25 to 34 years,Sleeping,Both
2008,Annual,9.45,0.084,Weekend days and holidays,25 to 34 years,Sleeping,Both
2009,Annual,9.43,0.084,Weekend days and holidays,25 to 34 years,Sleeping,Both
2010,Annual,9.4,0.092,Weekend days and holidays,25 to 34 years,Sleeping,Both
2011,Annual,9.39,0.104,Weekend days and holidays,25 to 34 years,Sleeping,Both
2012,Annual,9.49,0.088,Weekend days and holidays,25 to 34 years,Sleeping,Both
2013,Annual,9.37,0.093,Weekend days and holidays,25 to 34 years,Sleeping,Both
2014,Annual,9.52,0.092,Weekend days and holidays,25 to 34 years,Sleeping,Both
2015,Annual,9.43,0.092,Weekend days and holidays,25 to 34 years,Sleeping,Both
2016,Annual,9.55,0.092,Weekend days and holidays,25 to 34 years,Sleeping,Both
2017,Annual,9.56,0.103,Weekend days and holidays,25 to 34 years,Sleeping,Both
2003,Annual,8.34,0.042,All days,35 to 44 years,Sleeping,Both
2004,Annual,8.25,0.056,All days,35 to 44 years,Sleeping,Both
2005,Annual,8.37,0.043,All days,35 to 44 years,Sleeping,Both
2006,Annual,8.39,0.052,All days,35 to 44 years,Sleeping,Both
2007,Annual,8.35,0.052,All days,35 to 44 years,Sleeping,Both
2008,Annual,8.38,0.046,All days,35 to 44 years,Sleeping,Both
2009,Annual,8.41,0.047,All days,35 to 44 years,Sleeping,Both
2010,Annual,8.4,0.049,All days,35 to 44 years,Sleeping,Both
2011,Annual,8.43,0.053,All days,35 to 44 years,Sleeping,Both
2012,Annual,8.52,0.052,All days,35 to 44 years,Sleeping,Both
2013,Annual,8.52,0.046,All days,35 to 44 years,Sleeping,Both
2014,Annual,8.42,0.054,All days,35 to 44 years,Sleeping,Both
2015,Annual,8.67,0.073,All days,35 to 44 years,Sleeping,Both
2016,Annual,8.5,0.062,All days,35 to 44 years,Sleeping,Both
2017,Annual,8.57,0.065,All days,35 to 44 years,Sleeping,Both
2003,Annual,8.0,0.053,Nonholiday weekdays,35 to 44 years,Sleeping,Both
2004,Annual,7.95,0.073,Nonholiday weekdays,35 to 44 years,Sleeping,Both
2005,Annual,8.02,0.059,Nonholiday weekdays,35 to 44 years,Sleeping,Both
2006,Annual,8.05,0.069,Nonholiday weekdays,35 to 44 years,Sleeping,Both
2007,Annual,8.03,0.07,Nonholiday weekdays,35 to 44 years,Sleeping,Both
2008,Annual,8.04,0.058,Nonholiday weekdays,35 to 44 years,Sleeping,Both
2009,Annual,8.09,0.059,Nonholiday weekdays,35 to 44 years,Sleeping,Both
2010,Annual,8.05,0.066,Nonholiday weekdays,35 to 44 years,Sleeping,Both
2011,Annual,8.08,0.068,Nonholiday weekdays,35 to 44 years,Sleeping,Both
2012,Annual,8.19,0.07,Nonholiday weekdays,35 to 44 years,Sleeping,Both
2013,Annual,8.18,0.061,Nonholiday weekdays,35 to 44 years,Sleeping,Both
2014,Annual,8.02,0.065,Nonholiday weekdays,35 to 44 years,Sleeping,Both
2015,Annual,8.36,0.093,Nonholiday weekdays,35 to 44 years,Sleeping,Both
2016,Annual,8.14,0.086,Nonholiday weekdays,35 to 44 years,Sleeping,Both
2017,Annual,8.23,0.084,Nonholiday weekdays,35 to 44 years,Sleeping,Both
2003,Annual,9.16,0.049,Weekend days and holidays,35 to 44 years,Sleeping,Both
2004,Annual,8.99,0.063,Weekend days and holidays,35 to 44 years,Sleeping,Both
2005,Annual,9.21,0.067,Weekend days and holidays,35 to 44 years,Sleeping,Both
2006,Annual,9.16,0.074,Weekend days and holidays,35 to 44 years,Sleeping,Both
2007,Annual,9.12,0.064,Weekend days and holidays,35 to 44 years,Sleeping,Both
2008,Annual,9.17,0.083,Weekend days and holidays,35 to 44 years,Sleeping,Both
2009,Annual,9.17,0.067,Weekend days and holidays,35 to 44 years,Sleeping,Both
2010,Annual,9.23,0.06,Weekend days and holidays,35 to 44 years,Sleeping,Both
2011,Annual,9.25,0.087,Weekend days and holidays,35 to 44 years,Sleeping,Both
2012,Annual,9.28,0.07,Weekend days and holidays,35 to 44 years,Sleeping,Both
2013,Annual,9.32,0.072,Weekend days and holidays,35 to 44 years,Sleeping,Both
2014,Annual,9.33,0.076,Weekend days and holidays,35 to 44 years,Sleeping,Both
2015,Annual,9.41,0.088,Weekend days and holidays,35 to 44 years,Sleeping,Both
2016,Annual,9.34,0.09,Weekend days and holidays,35 to 44 years,Sleeping,Both
2017,Annual,9.37,0.088,Weekend days and holidays,35 to 44 years,Sleeping,Both
2003,Annual,8.17,0.036,All days,45 to 54 years,Sleeping,Both
2004,Annual,8.17,0.047,All days,45 to 54 years,Sleeping,Both
2005,Annual,8.2,0.054,All days,45 to 54 years,Sleeping,Both
2006,Annual,8.3,0.056,All days,45 to 54 years,Sleeping,Both
2007,Annual,8.24,0.059,All days,45 to 54 years,Sleeping,Both
2008,Annual,8.27,0.059,All days,45 to 54 years,Sleeping,Both
2009,Annual,8.29,0.043,All days,45 to 54 years,Sleeping,Both
2010,Annual,8.26,0.05,All days,45 to 54 years,Sleeping,Both
2011,Annual,8.37,0.06,All days,45 to 54 years,Sleeping,Both
2012,Annual,8.42,0.059,All days,45 to 54 years,Sleeping,Both
2013,Annual,8.51,0.055,All days,45 to 54 years,Sleeping,Both
2014,Annual,8.57,0.059,All days,45 to 54 years,Sleeping,Both
2015,Annual,8.36,0.056,All days,45 to 54 years,Sleeping,Both
2016,Annual,8.45,0.068,All days,45 to 54 years,Sleeping,Both
2017,Annual,8.5,0.073,All days,45 to 54 years,Sleeping,Both
2003,Annual,7.85,0.046,Nonholiday weekdays,45 to 54 years,Sleeping,Both
2004,Annual,7.86,0.06,Nonholiday weekdays,45 to 54 years,Sleeping,Both
2005,Annual,7.89,0.07,Nonholiday weekdays,45 to 54 years,Sleeping,Both
2006,Annual,7.92,0.077,Nonholiday weekdays,45 to 54 years,Sleeping,Both
2007,Annual,7.95,0.071,Nonholiday weekdays,45 to 54 years,Sleeping,Both
2008,Annual,7.94,0.075,Nonholiday weekdays,45 to 54 years,Sleeping,Both
2009,Annual,7.95,0.054,Nonholiday weekdays,45 to 54 years,Sleeping,Both
2010,Annual,7.89,0.066,Nonholiday weekdays,45 to 54 years,Sleeping,Both
2011,Annual,8.1,0.074,Nonholiday weekdays,45 to 54 years,Sleeping,Both
2012,Annual,8.07,0.07,Nonholiday weekdays,45 to 54 years,Sleeping,Both
2013,Annual,8.22,0.069,Nonholiday weekdays,45 to 54 years,Sleeping,Both
2014,Annual,8.23,0.073,Nonholiday weekdays,45 to 54 years,Sleeping,Both
2015,Annual,7.97,0.07,Nonholiday weekdays,45 to 54 years,Sleeping,Both
2016,Annual,8.13,0.087,Nonholiday weekdays,45 to 54 years,Sleeping,Both
2017,Annual,8.22,0.1,Nonholiday weekdays,45 to 54 years,Sleeping,Both
2003,Annual,8.93,0.054,Weekend days and holidays,45 to 54 years,Sleeping,Both
2004,Annual,8.9,0.069,Weekend days and holidays,45 to 54 years,Sleeping,Both
2005,Annual,8.95,0.074,Weekend days and holidays,45 to 54 years,Sleeping,Both
2006,Annual,9.18,0.078,Weekend days and holidays,45 to 54 years,Sleeping,Both
2007,Annual,8.92,0.089,Weekend days and holidays,45 to 54 years,Sleeping,Both
2008,Annual,9.05,0.069,Weekend days and holidays,45 to 54 years,Sleeping,Both
2009,Annual,9.06,0.084,Weekend days and holidays,45 to 54 years,Sleeping,Both
2010,Annual,9.12,0.075,Weekend days and holidays,45 to 54 years,Sleeping,Both
2011,Annual,9.02,0.074,Weekend days and holidays,45 to 54 years,Sleeping,Both
2012,Annual,9.22,0.103,Weekend days and holidays,45 to 54 years,Sleeping,Both
2013,Annual,9.17,0.087,Weekend days and holidays,45 to 54 years,Sleeping,Both
2014,Annual,9.37,0.084,Weekend days and holidays,45 to 54 years,Sleeping,Both
2015,Annual,9.32,0.081,Weekend days and holidays,45 to 54 years,Sleeping,Both
2016,Annual,9.2,0.089,Weekend days and holidays,45 to 54 years,Sleeping,Both
2017,Annual,9.15,0.092,Weekend days and holidays,45 to 54 years,Sleeping,Both
2003,Annual,8.36,0.04,All days,55 to 64 years,Sleeping,Both
2004,Annual,8.3,0.054,All days,55 to 64 years,Sleeping,Both
2005,Annual,8.28,0.054,All days,55 to 64 years,Sleeping,Both
2006,Annual,8.4,0.063,All days,55 to 64 years,Sleeping,Both
2007,Annual,8.26,0.06,All days,55 to 64 years,Sleeping,Both
2008,Annual,8.26,0.055,All days,55 to 64 years,Sleeping,Both
2009,Annual,8.43,0.055,All days,55 to 64 years,Sleeping,Both
2010,Annual,8.5,0.053,All days,55 to 64 years,Sleeping,Both
2011,Annual,8.47,0.051,All days,55 to 64 years,Sleeping,Both
2012,Annual,8.47,0.057,All days,55 to 64 years,Sleeping,Both
2013,Annual,8.49,0.054,All days,55 to 64 years,Sleeping,Both
2014,Annual,8.43,0.049,All days,55 to 64 years,Sleeping,Both
2015,Annual,8.51,0.059,All days,55 to 64 years,Sleeping,Both
2016,Annual,8.53,0.065,All days,55 to 64 years,Sleeping,Both
2017,Annual,8.41,0.06,All days,55 to 64 years,Sleeping,Both
2003,Annual,8.12,0.051,Nonholiday weekdays,55 to 64 years,Sleeping,Both
2004,Annual,8.1,0.068,Nonholiday weekdays,55 to 64 years,Sleeping,Both
2005,Annual,8.07,0.068,Nonholiday weekdays,55 to 64 years,Sleeping,Both
2006,Annual,8.16,0.078,Nonholiday weekdays,55 to 64 years,Sleeping,Both
2007,Annual,8.06,0.076,Nonholiday weekdays,55 to 64 years,Sleeping,Both
2008,Annual,8.0,0.066,Nonholiday weekdays,55 to 64 years,Sleeping,Both
2009,Annual,8.17,0.07,Nonholiday weekdays,55 to 64 years,Sleeping,Both
2010,Annual,8.26,0.066,Nonholiday weekdays,55 to 64 years,Sleeping,Both
2011,Annual,8.24,0.069,Nonholiday weekdays,55 to 64 years,Sleeping,Both
2012,Annual,8.25,0.077,Nonholiday weekdays,55 to 64 years,Sleeping,Both
2013,Annual,8.32,0.075,Nonholiday weekdays,55 to 64 years,Sleeping,Both
2014,Annual,8.21,0.063,Nonholiday weekdays,55 to 64 years,Sleeping,Both
2015,Annual,8.31,0.075,Nonholiday weekdays,55 to 64 years,Sleeping,Both
2016,Annual,8.28,0.077,Nonholiday weekdays,55 to 64 years,Sleeping,Both
2017,Annual,8.15,0.076,Nonholiday weekdays,55 to 64 years,Sleeping,Both
2003,Annual,8.92,0.064,Weekend days and holidays,55 to 64 years,Sleeping,Both
2004,Annual,8.78,0.068,Weekend days and holidays,55 to 64 years,Sleeping,Both
2005,Annual,8.77,0.082,Weekend days and holidays,55 to 64 years,Sleeping,Both
2006,Annual,8.96,0.093,Weekend days and holidays,55 to 64 years,Sleeping,Both
2007,Annual,8.73,0.081,Weekend days and holidays,55 to 64 years,Sleeping,Both
2008,Annual,8.89,0.081,Weekend days and holidays,55 to 64 years,Sleeping,Both
2009,Annual,9.06,0.086,Weekend days and holidays,55 to 64 years,Sleeping,Both
2010,Annual,9.08,0.077,Weekend days and holidays,55 to 64 years,Sleeping,Both
2011,Annual,9.02,0.085,Weekend days and holidays,55 to 64 years,Sleeping,Both
2012,Annual,8.98,0.088,Weekend days and holidays,55 to 64 years,Sleeping,Both
2013,Annual,8.88,0.071,Weekend days and holidays,55 to 64 years,Sleeping,Both
2014,Annual,8.97,0.071,Weekend days and holidays,55 to 64 years,Sleeping,Both
2015,Annual,8.98,0.085,Weekend days and holidays,55 to 64 years,Sleeping,Both
2016,Annual,9.12,0.093,Weekend days and holidays,55 to 64 years,Sleeping,Both
2017,Annual,9.02,0.074,Weekend days and holidays,55 to 64 years,Sleeping,Both
2003,Annual,8.86,0.039,All days,65 years and over,Sleeping,Both
2004,Annual,8.86,0.041,All days,65 years and over,Sleeping,Both
2005,Annual,8.96,0.057,All days,65 years and over,Sleeping,Both
2006,Annual,8.91,0.054,All days,65 years and over,Sleeping,Both
2007,Annual,8.91,0.061,All days,65 years and over,Sleeping,Both
2008,Annual,8.94,0.057,All days,65 years and over,Sleeping,Both
2009,Annual,8.91,0.05,All days,65 years and over,Sleeping,Both
2010,Annual,9.02,0.053,All days,65 years and over,Sleeping,Both
2011,Annual,9.08,0.056,All days,65 years and over,Sleeping,Both
2012,Annual,8.84,0.053,All days,65 years and over,Sleeping,Both
2013,Annual,8.87,0.051,All days,65 years and over,Sleeping,Both
2014,Annual,9.0,0.055,All days,65 years and over,Sleeping,Both
2015,Annual,8.97,0.047,All days,65 years and over,Sleeping,Both
2016,Annual,8.94,0.047,All days,65 years and over,Sleeping,Both
2017,Annual,8.84,0.054,All days,65 years and over,Sleeping,Both
2003,Annual,8.74,0.049,Nonholiday weekdays,65 years and over,Sleeping,Both
2004,Annual,8.77,0.054,Nonholiday weekdays,65 years and over,Sleeping,Both
2005,Annual,8.88,0.071,Nonholiday weekdays,65 years and over,Sleeping,Both
2006,Annual,8.87,0.072,Nonholiday weekdays,65 years and over,Sleeping,Both
2007,Annual,8.81,0.079,Nonholiday weekdays,65 years and over,Sleeping,Both
2008,Annual,8.86,0.072,Nonholiday weekdays,65 years and over,Sleeping,Both
2009,Annual,8.78,0.065,Nonholiday weekdays,65 years and over,Sleeping,Both
2010,Annual,8.95,0.065,Nonholiday weekdays,65 years and over,Sleeping,Both
2011,Annual,8.99,0.072,Nonholiday weekdays,65 years and over,Sleeping,Both
2012,Annual,8.74,0.066,Nonholiday weekdays,65 years and over,Sleeping,Both
2013,Annual,8.76,0.068,Nonholiday weekdays,65 years and over,Sleeping,Both
2014,Annual,8.95,0.072,Nonholiday weekdays,65 years and over,Sleeping,Both
2015,Annual,8.86,0.062,Nonholiday weekdays,65 years and over,Sleeping,Both
2016,Annual,8.87,0.061,Nonholiday weekdays,65 years and over,Sleeping,Both
2017,Annual,8.75,0.07,Nonholiday weekdays,65 years and over,Sleeping,Both
2003,Annual,9.15,0.051,Weekend days and holidays,65 years and over,Sleeping,Both
2004,Annual,9.06,0.057,Weekend days and holidays,65 years and over,Sleeping,Both
2005,Annual,9.15,0.076,Weekend days and holidays,65 years and over,Sleeping,Both
2006,Annual,9.02,0.069,Weekend days and holidays,65 years and over,Sleeping,Both
2007,Annual,9.16,0.079,Weekend days and holidays,65 years and over,Sleeping,Both
2008,Annual,9.14,0.08,Weekend days and holidays,65 years and over,Sleeping,Both
2009,Annual,9.2,0.067,Weekend days and holidays,65 years and over,Sleeping,Both
2010,Annual,9.2,0.076,Weekend days and holidays,65 years and over,Sleeping,Both
2011,Annual,9.27,0.073,Weekend days and holidays,65 years and over,Sleeping,Both
2012,Annual,9.08,0.077,Weekend days and holidays,65 years and over,Sleeping,Both
2013,Annual,9.12,0.063,Weekend days and holidays,65 years and over,Sleeping,Both
2014,Annual,9.12,0.072,Weekend days and holidays,65 years and over,Sleeping,Both
2015,Annual,9.23,0.062,Weekend days and holidays,65 years and over,Sleeping,Both
2016,Annual,9.11,0.067,Weekend days and holidays,65 years and over,Sleeping,Both
