Année,Période,AVG HRS par jour Sleeping,Erreur standard,Type de jours,Tranche d'âge,Activité,Sexe
2007,Annual,8.63,0.03,All days,15 years and over,Sleeping,Women
2008,Annual,8.64,0.034,All days,15 years and over,Sleeping,Women
2009,Annual,8.73,0.03,All days,15 years and over,Sleeping,Women
2010,Annual,8.76,0.033,All days,15 years and over,Sleeping,Women
2011,Annual,8.8,0.035,All days,15 years and over,Sleeping,Women
2012,Annual,8.86,0.033,All days,15 years and over,Sleeping,Women
2013,Annual,8.82,0.034,All days,15 years and over,Sleeping,Women
2014,Annual,8.9,0.034,All days,15 years and over,Sleeping,Women
2015,Annual,8.9,0.033,All days,15 years and over,Sleeping,Women
2016,Annual,8.88,0.037,All days,15 years and over,Sleeping,Women
2017,Annual,8.9,0.037,All days,15 years and over,Sleeping,Women
2003,Annual,9.34,0.029,Weekend days and holidays,15 years and over,Sleeping,Women
2004,Annual,9.27,0.037,Weekend days and holidays,15 years and over,Sleeping,Women
2005,Annual,9.34,0.042,Weekend days and holidays,15 years and over,Sleeping,Women
2006,Annual,9.36,0.047,Weekend days and holidays,15 years and over,Sleeping,Women
2007,Annual,9.24,0.043,Weekend days and holidays,15 years and over,Sleeping,Women
2008,Annual,9.36,0.047,Weekend days and holidays,15 years and over,Sleeping,Women
2009,Annual,9.34,0.045,Weekend days and holidays,15 years and over,Sleeping,Women
2010,Annual,9.4,0.046,Weekend days and holidays,15 years and over,Sleeping,Women
2011,Annual,9.39,0.054,Weekend days and holidays,15 years and over,Sleeping,Women
2012,Annual,9.46,0.048,Weekend days and holidays,15 years and over,Sleeping,Women
2013,Annual,9.38,0.052,Weekend days and holidays,15 years and over,Sleeping,Women
2014,Annual,9.52,0.049,Weekend days and holidays,15 years and over,Sleeping,Women
2015,Annual,9.46,0.047,Weekend days and holidays,15 years and over,Sleeping,Women
2016,Annual,9.49,0.051,Weekend days and holidays,15 years and over,Sleeping,Women
2017,Annual,9.49,0.05,Weekend days and holidays,15 years and over,Sleeping,Women
2003,Annual,8.36,0.028,Nonholiday weekdays,15 years and over,Sleeping,Women
2004,Annual,8.33,0.038,Nonholiday weekdays,15 years and over,Sleeping,Women
2005,Annual,8.45,0.038,Nonholiday weekdays,15 years and over,Sleeping,Women
2006,Annual,8.4,0.045,Nonholiday weekdays,15 years and over,Sleeping,Women
2007,Annual,8.36,0.041,Nonholiday weekdays,15 years and over,Sleeping,Women
2008,Annual,8.33,0.044,Nonholiday weekdays,15 years and over,Sleeping,Women
2009,Annual,8.47,0.039,Nonholiday weekdays,15 years and over,Sleeping,Women
2010,Annual,8.49,0.042,Nonholiday weekdays,15 years and over,Sleeping,Women
2011,Annual,8.56,0.045,Nonholiday weekdays,15 years and over,Sleeping,Women
2012,Annual,8.6,0.043,Nonholiday weekdays,15 years and over,Sleeping,Women
2013,Annual,8.57,0.047,Nonholiday weekdays,15 years and over,Sleeping,Women
2014,Annual,8.63,0.042,Nonholiday weekdays,15 years and over,Sleeping,Women
2015,Annual,8.66,0.045,Nonholiday weekdays,15 years and over,Sleeping,Women
2016,Annual,8.62,0.047,Nonholiday weekdays,15 years and over,Sleeping,Women
2017,Annual,8.65,0.047,Nonholiday weekdays,15 years and over,Sleeping,Women
2003,Annual,9.16,0.075,All days,15 to 24 years,Sleeping,Women
2004,Annual,9.34,0.105,All days,15 to 24 years,Sleeping,Women
2005,Annual,9.35,0.094,All days,15 to 24 years,Sleeping,Women
2006,Annual,9.17,0.097,All days,15 to 24 years,Sleeping,Women
2007,Annual,9.2,0.107,All days,15 to 24 years,Sleeping,Women
2008,Annual,9.13,0.119,All days,15 to 24 years,Sleeping,Women
2009,Annual,9.33,0.098,All days,15 to 24 years,Sleeping,Women
2010,Annual,9.27,0.115,All days,15 to 24 years,Sleeping,Women
2011,Annual,9.31,0.111,All days,15 to 24 years,Sleeping,Women
2012,Annual,9.53,0.112,All days,15 to 24 years,Sleeping,Women
2013,Annual,9.38,0.128,All days,15 to 24 years,Sleeping,Women
2014,Annual,9.6,0.131,All days,15 to 24 years,Sleeping,Women
2015,Annual,9.64,0.129,All days,15 to 24 years,Sleeping,Women
2016,Annual,9.5,0.143,All days,15 to 24 years,Sleeping,Women
2017,Annual,9.66,0.136,All days,15 to 24 years,Sleeping,Women
2003,Annual,10.07,0.093,Weekend days and holidays,15 to 24 years,Sleeping,Women
2004,Annual,10.32,0.137,Weekend days and holidays,15 to 24 years,Sleeping,Women
2005,Annual,9.83,0.122,Weekend days and holidays,15 to 24 years,Sleeping,Women
2006,Annual,10.18,0.131,Weekend days and holidays,15 to 24 years,Sleeping,Women
2007,Annual,10.0,0.141,Weekend days and holidays,15 to 24 years,Sleeping,Women
2008,Annual,9.96,0.167,Weekend days and holidays,15 to 24 years,Sleeping,Women
2009,Annual,9.78,0.16,Weekend days and holidays,15 to 24 years,Sleeping,Women
2010,Annual,9.93,0.151,Weekend days and holidays,15 to 24 years,Sleeping,Women
2011,Annual,10.15,0.187,Weekend days and holidays,15 to 24 years,Sleeping,Women
2012,Annual,10.26,0.142,Weekend days and holidays,15 to 24 years,Sleeping,Women
2013,Annual,10.15,0.17,Weekend days and holidays,15 to 24 years,Sleeping,Women
2014,Annual,10.32,0.16,Weekend days and holidays,15 to 24 years,Sleeping,Women
2015,Annual,10.15,0.191,Weekend days and holidays,15 to 24 years,Sleeping,Women
2016,Annual,10.52,0.171,Weekend days and holidays,15 to 24 years,Sleeping,Women
2017,Annual,10.5,0.163,Weekend days and holidays,15 to 24 years,Sleeping,Women
2003,Annual,8.78,0.1,Nonholiday weekdays,15 to 24 years,Sleeping,Women
2004,Annual,8.93,0.144,Nonholiday weekdays,15 to 24 years,Sleeping,Women
2005,Annual,9.15,0.125,Nonholiday weekdays,15 to 24 years,Sleeping,Women
2006,Annual,8.75,0.131,Nonholiday weekdays,15 to 24 years,Sleeping,Women
2007,Annual,8.84,0.133,Nonholiday weekdays,15 to 24 years,Sleeping,Women
2008,Annual,8.76,0.15,Nonholiday weekdays,15 to 24 years,Sleeping,Women
2009,Annual,9.13,0.13,Nonholiday weekdays,15 to 24 years,Sleeping,Women
2010,Annual,9.0,0.15,Nonholiday weekdays,15 to 24 years,Sleeping,Women
2011,Annual,8.96,0.134,Nonholiday weekdays,15 to 24 years,Sleeping,Women
2012,Annual,9.22,0.152,Nonholiday weekdays,15 to 24 years,Sleeping,Women
2013,Annual,9.07,0.174,Nonholiday weekdays,15 to 24 years,Sleeping,Women
2014,Annual,9.3,0.168,Nonholiday weekdays,15 to 24 years,Sleeping,Women
2015,Annual,9.42,0.154,Nonholiday weekdays,15 to 24 years,Sleeping,Women
2016,Annual,9.09,0.181,Nonholiday weekdays,15 to 24 years,Sleeping,Women
2017,Annual,9.31,0.178,Nonholiday weekdays,15 to 24 years,Sleeping,Women
2003,Annual,8.73,0.056,All days,25 to 34 years,Sleeping,Women
2004,Annual,8.51,0.069,All days,25 to 34 years,Sleeping,Women
2005,Annual,8.85,0.067,All days,25 to 34 years,Sleeping,Women
2006,Annual,8.75,0.082,All days,25 to 34 years,Sleeping,Women
2007,Annual,8.69,0.075,All days,25 to 34 years,Sleeping,Women
2008,Annual,8.6,0.089,All days,25 to 34 years,Sleeping,Women
2009,Annual,8.61,0.072,All days,25 to 34 years,Sleeping,Women
2010,Annual,8.89,0.072,All days,25 to 34 years,Sleeping,Women
2011,Annual,8.83,0.064,All days,25 to 34 years,Sleeping,Women
2012,Annual,8.97,0.074,All days,25 to 34 years,Sleeping,Women
2013,Annual,8.85,0.081,All days,25 to 34 years,Sleeping,Women
2014,Annual,8.91,0.077,All days,25 to 34 years,Sleeping,Women
2015,Annual,8.96,0.084,All days,25 to 34 years,Sleeping,Women
2016,Annual,8.87,0.093,All days,25 to 34 years,Sleeping,Women
2017,Annual,9.04,0.089,All days,25 to 34 years,Sleeping,Women
2003,Annual,9.45,0.075,Weekend days and holidays,25 to 34 years,Sleeping,Women
2004,Annual,9.37,0.088,Weekend days and holidays,25 to 34 years,Sleeping,Women
2005,Annual,9.74,0.105,Weekend days and holidays,25 to 34 years,Sleeping,Women
2006,Annual,9.44,0.099,Weekend days and holidays,25 to 34 years,Sleeping,Women
2007,Annual,9.36,0.102,Weekend days and holidays,25 to 34 years,Sleeping,Women
2008,Annual,9.58,0.094,Weekend days and holidays,25 to 34 years,Sleeping,Women
2009,Annual,9.53,0.103,Weekend days and holidays,25 to 34 years,Sleeping,Women
2010,Annual,9.62,0.123,Weekend days and holidays,25 to 34 years,Sleeping,Women
2011,Annual,9.43,0.11,Weekend days and holidays,25 to 34 years,Sleeping,Women
2012,Annual,9.69,0.124,Weekend days and holidays,25 to 34 years,Sleeping,Women
2013,Annual,9.51,0.14,Weekend days and holidays,25 to 34 years,Sleeping,Women
2014,Annual,9.72,0.125,Weekend days and holidays,25 to 34 years,Sleeping,Women
2015,Annual,9.52,0.118,Weekend days and holidays,25 to 34 years,Sleeping,Women
2016,Annual,9.65,0.13,Weekend days and holidays,25 to 34 years,Sleeping,Women
2017,Annual,9.68,0.144,Weekend days and holidays,25 to 34 years,Sleeping,Women
2003,Annual,8.44,0.075,Nonholiday weekdays,25 to 34 years,Sleeping,Women
2004,Annual,8.16,0.088,Nonholiday weekdays,25 to 34 years,Sleeping,Women
2005,Annual,8.47,0.084,Nonholiday weekdays,25 to 34 years,Sleeping,Women
2006,Annual,8.45,0.111,Nonholiday weekdays,25 to 34 years,Sleeping,Women
2007,Annual,8.41,0.099,Nonholiday weekdays,25 to 34 years,Sleeping,Women
2008,Annual,8.2,0.119,Nonholiday weekdays,25 to 34 years,Sleeping,Women
2009,Annual,8.23,0.087,Nonholiday weekdays,25 to 34 years,Sleeping,Women
2010,Annual,8.59,0.09,Nonholiday weekdays,25 to 34 years,Sleeping,Women
2011,Annual,8.57,0.084,Nonholiday weekdays,25 to 34 years,Sleeping,Women
2012,Annual,8.65,0.091,Nonholiday weekdays,25 to 34 years,Sleeping,Women
2013,Annual,8.56,0.096,Nonholiday weekdays,25 to 34 years,Sleeping,Women
2014,Annual,8.57,0.102,Nonholiday weekdays,25 to 34 years,Sleeping,Women
2015,Annual,8.71,0.112,Nonholiday weekdays,25 to 34 years,Sleeping,Women
2016,Annual,8.54,0.124,Nonholiday weekdays,25 to 34 years,Sleeping,Women
2017,Annual,8.78,0.113,Nonholiday weekdays,25 to 34 years,Sleeping,Women
2003,Annual,8.48,0.053,All days,35 to 44 years,Sleeping,Women
2004,Annual,8.3,0.062,All days,35 to 44 years,Sleeping,Women
2005,Annual,8.38,0.054,All days,35 to 44 years,Sleeping,Women
2006,Annual,8.49,0.073,All days,35 to 44 years,Sleeping,Women
2007,Annual,8.41,0.071,All days,35 to 44 years,Sleeping,Women
2008,Annual,8.44,0.06,All days,35 to 44 years,Sleeping,Women
2009,Annual,8.53,0.069,All days,35 to 44 years,Sleeping,Women
2010,Annual,8.5,0.072,All days,35 to 44 years,Sleeping,Women
2011,Annual,8.51,0.069,All days,35 to 44 years,Sleeping,Women
2012,Annual,8.69,0.08,All days,35 to 44 years,Sleeping,Women
2013,Annual,8.67,0.068,All days,35 to 44 years,Sleeping,Women
2014,Annual,8.63,0.064,All days,35 to 44 years,Sleeping,Women
2015,Annual,8.68,0.083,All days,35 to 44 years,Sleeping,Women
2016,Annual,8.58,0.064,All days,35 to 44 years,Sleeping,Women
2017,Annual,8.77,0.088,All days,35 to 44 years,Sleeping,Women
2003,Annual,9.31,0.06,Weekend days and holidays,35 to 44 years,Sleeping,Women
2004,Annual,8.98,0.08,Weekend days and holidays,35 to 44 years,Sleeping,Women
2005,Annual,9.26,0.083,Weekend days and holidays,35 to 44 years,Sleeping,Women
2006,Annual,9.28,0.113,Weekend days and holidays,35 to 44 years,Sleeping,Women
2007,Annual,9.23,0.087,Weekend days and holidays,35 to 44 years,Sleeping,Women
2008,Annual,9.27,0.108,Weekend days and holidays,35 to 44 years,Sleeping,Women
2009,Annual,9.25,0.09,Weekend days and holidays,35 to 44 years,Sleeping,Women
2010,Annual,9.35,0.089,Weekend days and holidays,35 to 44 years,Sleeping,Women
2011,Annual,9.33,0.13,Weekend days and holidays,35 to 44 years,Sleeping,Women
2012,Annual,9.47,0.097,Weekend days and holidays,35 to 44 years,Sleeping,Women
2013,Annual,9.42,0.105,Weekend days and holidays,35 to 44 years,Sleeping,Women
2014,Annual,9.5,0.101,Weekend days and holidays,35 to 44 years,Sleeping,Women
2015,Annual,9.35,0.106,Weekend days and holidays,35 to 44 years,Sleeping,Women
2016,Annual,9.41,0.112,Weekend days and holidays,35 to 44 years,Sleeping,Women
2017,Annual,9.46,0.112,Weekend days and holidays,35 to 44 years,Sleeping,Women
2003,Annual,8.13,0.069,Nonholiday weekdays,35 to 44 years,Sleeping,Women
2004,Annual,8.01,0.082,Nonholiday weekdays,35 to 44 years,Sleeping,Women
2005,Annual,8.01,0.069,Nonholiday weekdays,35 to 44 years,Sleeping,Women
2006,Annual,8.16,0.092,Nonholiday weekdays,35 to 44 years,Sleeping,Women
2007,Annual,8.07,0.095,Nonholiday weekdays,35 to 44 years,Sleeping,Women
2008,Annual,8.08,0.073,Nonholiday weekdays,35 to 44 years,Sleeping,Women
2009,Annual,8.23,0.088,Nonholiday weekdays,35 to 44 years,Sleeping,Women
2010,Annual,8.14,0.097,Nonholiday weekdays,35 to 44 years,Sleeping,Women
2011,Annual,8.15,0.08,Nonholiday weekdays,35 to 44 years,Sleeping,Women
2012,Annual,8.36,0.102,Nonholiday weekdays,35 to 44 years,Sleeping,Women
2013,Annual,8.34,0.087,Nonholiday weekdays,35 to 44 years,Sleeping,Women
2014,Annual,8.25,0.084,Nonholiday weekdays,35 to 44 years,Sleeping,Women
2015,Annual,8.39,0.106,Nonholiday weekdays,35 to 44 years,Sleeping,Women
2016,Annual,8.22,0.078,Nonholiday weekdays,35 to 44 years,Sleeping,Women
2017,Annual,8.48,0.115,Nonholiday weekdays,35 to 44 years,Sleeping,Women
2003,Annual,8.26,0.05,All days,45 to 54 years,Sleeping,Women
2004,Annual,8.23,0.059,All days,45 to 54 years,Sleeping,Women
2005,Annual,8.36,0.071,All days,45 to 54 years,Sleeping,Women
2006,Annual,8.4,0.079,All days,45 to 54 years,Sleeping,Women
2007,Annual,8.29,0.072,All days,45 to 54 years,Sleeping,Women
2008,Annual,8.39,0.085,All days,45 to 54 years,Sleeping,Women
2009,Annual,8.42,0.067,All days,45 to 54 years,Sleeping,Women
2010,Annual,8.36,0.074,All days,45 to 54 years,Sleeping,Women
2011,Annual,8.51,0.092,All days,45 to 54 years,Sleeping,Women
2012,Annual,8.46,0.077,All days,45 to 54 years,Sleeping,Women
2013,Annual,8.61,0.071,All days,45 to 54 years,Sleeping,Women
2014,Annual,8.68,0.081,All days,45 to 54 years,Sleeping,Women
2015,Annual,8.49,0.08,All days,45 to 54 years,Sleeping,Women
2016,Annual,8.71,0.112,All days,45 to 54 years,Sleeping,Women
2017,Annual,8.52,0.098,All days,45 to 54 years,Sleeping,Women
2003,Annual,9.04,0.076,Weekend days and holidays,45 to 54 years,Sleeping,Women
2004,Annual,9.05,0.088,Weekend days and holidays,45 to 54 years,Sleeping,Women
2005,Annual,9.08,0.099,Weekend days and holidays,45 to 54 years,Sleeping,Women
2006,Annual,9.4,0.106,Weekend days and holidays,45 to 54 years,Sleeping,Women
2007,Annual,8.89,0.111,Weekend days and holidays,45 to 54 years,Sleeping,Women
2008,Annual,9.13,0.098,Weekend days and holidays,45 to 54 years,Sleeping,Women
2009,Annual,9.19,0.114,Weekend days and holidays,45 to 54 years,Sleeping,Women
2010,Annual,9.22,0.101,Weekend days and holidays,45 to 54 years,Sleeping,Women
2011,Annual,9.14,0.107,Weekend days and holidays,45 to 54 years,Sleeping,Women
2012,Annual,9.25,0.13,Weekend days and holidays,45 to 54 years,Sleeping,Women
2013,Annual,9.34,0.129,Weekend days and holidays,45 to 54 years,Sleeping,Women
2014,Annual,9.49,0.129,Weekend days and holidays,45 to 54 years,Sleeping,Women
2015,Annual,9.4,0.105,Weekend days and holidays,45 to 54 years,Sleeping,Women
2016,Annual,9.3,0.145,Weekend days and holidays,45 to 54 years,Sleeping,Women
2017,Annual,9.22,0.149,Weekend days and holidays,45 to 54 years,Sleeping,Women
2003,Annual,7.93,0.061,Nonholiday weekdays,45 to 54 years,Sleeping,Women
2004,Annual,7.9,0.073,Nonholiday weekdays,45 to 54 years,Sleeping,Women
2005,Annual,8.06,0.093,Nonholiday weekdays,45 to 54 years,Sleeping,Women
2006,Annual,7.97,0.105,Nonholiday weekdays,45 to 54 years,Sleeping,Women
2007,Annual,8.04,0.092,Nonholiday weekdays,45 to 54 years,Sleeping,Women
2008,Annual,8.07,0.111,Nonholiday weekdays,45 to 54 years,Sleeping,Women
2009,Annual,8.08,0.087,Nonholiday weekdays,45 to 54 years,Sleeping,Women
2010,Annual,7.99,0.102,Nonholiday weekdays,45 to 54 years,Sleeping,Women
2011,Annual,8.25,0.112,Nonholiday weekdays,45 to 54 years,Sleeping,Women
2012,Annual,8.12,0.1,Nonholiday weekdays,45 to 54 years,Sleeping,Women
2013,Annual,8.29,0.092,Nonholiday weekdays,45 to 54 years,Sleeping,Women
2014,Annual,8.33,0.101,Nonholiday weekdays,45 to 54 years,Sleeping,Women
2015,Annual,8.12,0.103,Nonholiday weekdays,45 to 54 years,Sleeping,Women
2016,Annual,8.47,0.143,Nonholiday weekdays,45 to 54 years,Sleeping,Women
2017,Annual,8.22,0.128,Nonholiday weekdays,45 to 54 years,Sleeping,Women
2003,Annual,8.39,0.055,All days,55 to 64 years,Sleeping,Women
2004,Annual,8.3,0.073,All days,55 to 64 years,Sleeping,Women
2005,Annual,8.35,0.069,All days,55 to 64 years,Sleeping,Women
2006,Annual,8.47,0.083,All days,55 to 64 years,Sleeping,Women
2007,Annual,8.2,0.081,All days,55 to 64 years,Sleeping,Women
2008,Annual,8.29,0.084,All days,55 to 64 years,Sleeping,Women
2009,Annual,8.49,0.072,All days,55 to 64 years,Sleeping,Women
2010,Annual,8.49,0.074,All days,55 to 64 years,Sleeping,Women
2011,Annual,8.54,0.076,All days,55 to 64 years,Sleeping,Women
2012,Annual,8.61,0.073,All days,55 to 64 years,Sleeping,Women
2013,Annual,8.46,0.08,All days,55 to 64 years,Sleeping,Women
2014,Annual,8.51,0.065,All days,55 to 64 years,Sleeping,Women
2015,Annual,8.63,0.088,All days,55 to 64 years,Sleeping,Women
2016,Annual,8.61,0.078,All days,55 to 64 years,Sleeping,Women
2017,Annual,8.51,0.086,All days,55 to 64 years,Sleeping,Women
2003,Annual,8.93,0.077,Weekend days and holidays,55 to 64 years,Sleeping,Women
2004,Annual,8.79,0.103,Weekend days and holidays,55 to 64 years,Sleeping,Women
2005,Annual,8.78,0.103,Weekend days and holidays,55 to 64 years,Sleeping,Women
2006,Annual,8.83,0.105,Weekend days and holidays,55 to 64 years,Sleeping,Women
2007,Annual,8.76,0.11,Weekend days and holidays,55 to 64 years,Sleeping,Women
2008,Annual,8.88,0.113,Weekend days and holidays,55 to 64 years,Sleeping,Women
2009,Annual,9.02,0.115,Weekend days and holidays,55 to 64 years,Sleeping,Women
2010,Annual,9.03,0.095,Weekend days and holidays,55 to 64 years,Sleeping,Women
2011,Annual,8.97,0.116,Weekend days and holidays,55 to 64 years,Sleeping,Women
2012,Annual,9.04,0.099,Weekend days and holidays,55 to 64 years,Sleeping,Women
2013,Annual,8.84,0.106,Weekend days and holidays,55 to 64 years,Sleeping,Women
2014,Annual,9.05,0.097,Weekend days and holidays,55 to 64 years,Sleeping,Women
2015,Annual,9.02,0.11,Weekend days and holidays,55 to 64 years,Sleeping,Women
2016,Annual,9.09,0.106,Weekend days and holidays,55 to 64 years,Sleeping,Women
2017,Annual,9.04,0.098,Weekend days and holidays,55 to 64 years,Sleeping,Women
2003,Annual,8.17,0.073,Nonholiday weekdays,55 to 64 years,Sleeping,Women
2004,Annual,8.1,0.092,Nonholiday weekdays,55 to 64 years,Sleeping,Women
2005,Annual,8.17,0.093,Nonholiday weekdays,55 to 64 years,Sleeping,Women
2006,Annual,8.32,0.102,Nonholiday weekdays,55 to 64 years,Sleeping,Women
2007,Annual,7.98,0.105,Nonholiday weekdays,55 to 64 years,Sleeping,Women
2008,Annual,8.04,0.098,Nonholiday weekdays,55 to 64 years,Sleeping,Women
2009,Annual,8.27,0.101,Nonholiday weekdays,55 to 64 years,Sleeping,Women
2010,Annual,8.27,0.093,Nonholiday weekdays,55 to 64 years,Sleeping,Women
2011,Annual,8.35,0.097,Nonholiday weekdays,55 to 64 years,Sleeping,Women
2012,Annual,8.44,0.101,Nonholiday weekdays,55 to 64 years,Sleeping,Women
2013,Annual,8.29,0.103,Nonholiday weekdays,55 to 64 years,Sleeping,Women
2014,Annual,8.29,0.085,Nonholiday weekdays,55 to 64 years,Sleeping,Women
2015,Annual,8.47,0.116,Nonholiday weekdays,55 to 64 years,Sleeping,Women
2016,Annual,8.4,0.101,Nonholiday weekdays,55 to 64 years,Sleeping,Women
2017,Annual,8.29,0.113,Nonholiday weekdays,55 to 64 years,Sleeping,Women
2003,Annual,8.84,0.049,All days,65 years and over,Sleeping,Women
2004,Annual,8.93,0.054,All days,65 years and over,Sleeping,Women
2005,Annual,8.95,0.07,All days,65 years and over,Sleeping,Women
2006,Annual,8.82,0.071,All days,65 years and over,Sleeping,Women
2007,Annual,8.91,0.071,All days,65 years and over,Sleeping,Women
2008,Annual,8.94,0.07,All days,65 years and over,Sleeping,Women
2009,Annual,8.96,0.067,All days,65 years and over,Sleeping,Women
2010,Annual,9.04,0.072,All days,65 years and over,Sleeping,Women
2011,Annual,9.09,0.069,All days,65 years and over,Sleeping,Women
2012,Annual,8.87,0.068,All days,65 years and over,Sleeping,Women
2013,Annual,8.9,0.063,All days,65 years and over,Sleeping,Women
2014,Annual,9.02,0.066,All days,65 years and over,Sleeping,Women
2015,Annual,8.97,0.059,All days,65 years and over,Sleeping,Women
2016,Annual,8.97,0.054,All days,65 years and over,Sleeping,Women
2017,Annual,8.91,0.072,All days,65 years and over,Sleeping,Women
2003,Annual,9.18,0.072,Weekend days and holidays,65 years and over,Sleeping,Women
2004,Annual,9.05,0.067,Weekend days and holidays,65 years and over,Sleeping,Women
2005,Annual,9.28,0.119,Weekend days and holidays,65 years and over,Sleeping,Women
2006,Annual,8.94,0.094,Weekend days and holidays,65 years and over,Sleeping,Women
2007,Annual,9.13,0.104,Weekend days and holidays,65 years and over,Sleeping,Women
2008,Annual,9.31,0.099,Weekend days and holidays,65 years and over,Sleeping,Women
2009,Annual,9.21,0.083,Weekend days and holidays,65 years and over,Sleeping,Women
2010,Annual,9.22,0.094,Weekend days and holidays,65 years and over,Sleeping,Women
2011,Annual,9.29,0.094,Weekend days and holidays,65 years and over,Sleeping,Women
2012,Annual,9.06,0.104,Weekend days and holidays,65 years and over,Sleeping,Women
2013,Annual,9.06,0.091,Weekend days and holidays,65 years and over,Sleeping,Women
2014,Annual,9.13,0.094,Weekend days and holidays,65 years and over,Sleeping,Women
2015,Annual,9.3,0.086,Weekend days and holidays,65 years and over,Sleeping,Women
2016,Annual,9.1,0.081,Weekend days and holidays,65 years and over,Sleeping,Women
2017,Annual,9.15,0.1,Weekend days and holidays,65 years and over,Sleeping,Women
2003,Annual,8.7,0.06,Nonholiday weekdays,65 years and over,Sleeping,Women
2004,Annual,8.88,0.071,Nonholiday weekdays,65 years and over,Sleeping,Women
2005,Annual,8.81,0.081,Nonholiday weekdays,65 years and over,Sleeping,Women
2006,Annual,8.77,0.097,Nonholiday weekdays,65 years and over,Sleeping,Women
2007,Annual,8.82,0.088,Nonholiday weekdays,65 years and over,Sleeping,Women
2008,Annual,8.79,0.086,Nonholiday weekdays,65 years and over,Sleeping,Women
2009,Annual,8.86,0.083,Nonholiday weekdays,65 years and over,Sleeping,Women
2010,Annual,8.96,0.092,Nonholiday weekdays,65 years and over,Sleeping,Women
2011,Annual,9.02,0.085,Nonholiday weekdays,65 years and over,Sleeping,Women
2012,Annual,8.79,0.089,Nonholiday weekdays,65 years and over,Sleeping,Women
2013,Annual,8.83,0.085,Nonholiday weekdays,65 years and over,Sleeping,Women
2014,Annual,8.98,0.086,Nonholiday weekdays,65 years and over,Sleeping,Women
2015,Annual,8.83,0.074,Nonholiday weekdays,65 years and over,Sleeping,Women
2016,Annual,8.92,0.071,Nonholiday weekdays,65 years and over,Sleeping,Women
2017,Annual,8.81,0.091,Nonholiday weekdays,65 years and over,Sleeping,Women
